                   person, sleep,  work, health, legacy
         Honore de Balzak,   8.5,    13,    bad, medium
              John Milton,     7,     5,    N/A, medium
          Haruki Murakami,     7,     8,   good,   lots
                 Voltaire,     4,    16,   good,   lots
        Benjamin Franklin,     7,     8,    bad,   lots
            Immanuel Kant,     7,     1,    N/A,   lots
            Kurt Vonnegut,   7.5,     4,   good, medium
             Maya Angelou,   7.5,     4,    N/A, medium
        Wystan Hugh Auden,     8,  11.5,    N/A,   lots
     Ludwig Van Beethoven,   8.5,     8,average,   lots
             Le Corbusier,     7,   5.5,   good,   lots
   Mary Flannery O'Connor,     9,     3,    bad,  small
              Victor Hugo,     8,   6.5,average,   lots
  Wolfgang Amadeus Mozart,     5,     8,    bad,   lots
           Charles Darwin,     8,     5,    bad,   lots
          Charles Dickens,     7,     5,    bad, medium
            Sigmund Freud,     6,   8.5,    bad,   lots
         Vladimir Nabokov,     8,     7,   good, medium
            Kingsley Amis,     8,   5.5,    N/A,   lots
              Thomas Mann,     9,   6.5,   good, medium
          Richard Strauss,    10,     4,   good,   lots
 Pyotr Ilyich Tchaikovsky,     8,     4,    bad,   lots
              Franz Kafka,   6.5,     7,    bad,  small
         Gustave Flaubert,     7,  10.5,    N/A, medium
            Pablo Picasso,   8.5,  10.5,   good,   lots
           William Styron,     9,     4,   good, medium
